    target  count  region      srcs
 0x20135f4     4  decomp      0x2016448, 0x2018f70, 0x2019190, 0x2019378
 0x2013618     5  decomp      0x2016478, 0x20165f4, 0x20167dc, 0x20167ec, 0x2016838
 0x2013648     3  decomp      0x20165e4, 0x20167cc, 0x2017b48
 0x201365c     2  decomp      0x2013774, 0x20176e0
 0x2013688     2  decomp      0x2016610, 0x201683c
 0x201369c     2  decomp      0x2013770, 0x20163ec
 0x20136b4     5  decomp      0x201375c, 0x201631c, 0x20163dc, 0x20164e4, 0x2016638
 0x20136c8     1  decomp      0x2016784
 0x20136e0     1  decomp      0x2014fcc
 0x2013700     2  decomp      0x2015054, 0x2017814
 0x201374c     1  decomp      0x201371c
 0x20137e0     1  decomp      0x2013730
 0x2013818     1  decomp      0x2017b2c
 0x201382c     1  decomp      0x201367c
 0x20138d4     1  decomp      0x20135e0
 0x2013928     2  decomp      0x2013604, 0x20138f0
 0x20139c0     5  decomp      0x2013638, 0x2013808, 0x201390c, 0x20139a0, 0x2013a34
 0x2013a48     1  decomp      0x2016468
 0x2013a5c     7  decomp      0x2016314, 0x201647c, 0x20164dc, 0x2016598, 0x2016630, 0x20166ec
 0x2013a78     9  decomp      0x2016a2c, 0x2016b34, 0x2016b88, 0x2016c84, 0x2029bf4, 0x2029eac
 0x2013a84     1  decomp      0x2017afc
 0x2013a9c     1  decomp      0x2013a90
 0x2013b08     1  decomp      0x2013a8c
 0x2013b50    30  decomp      0x2015b60, 0x201903c, 0x2019068, 0x2019248, 0x2019274, 0x202d0b8
 0x2013ca8     2  decomp      0x2013dc4, 0x203c404
 0x2013dac     9  decomp      0x2033210, 0x203322c, 0x2033294, 0x20332d4, 0x2033318, 0x203bd64
 0x2013dd0     1  decomp      0x2039e20
 0x2013e64     2  decomp      0x2013b7c, 0x2013cd0
 0x2013f54     1  decomp      0x2013ee4
 0x2013ff8     1  decomp      0x201797c
 0x2014034     1  decomp      0x2014df0
 0x20140ac     5  decomp      0x2013bac, 0x2013bf0, 0x2013c08, 0x2013e20, 0x2014e8c
 0x201413c     1  decomp      0x2016dd0
 0x2014230     2  decomp      0x201692c, 0x2026bc4
 0x20143dc     2  decomp      0x2014504, 0x201450c
 0x20144f8     3  decomp      0x20168e8, 0x2016954, 0x2026bec
 0x2014518     5  decomp      0x2016ce0, 0x2016ce8, 0x2016dc4, 0x2016dcc, 0x2019608
 0x201458c     2  decomp      0x201676c, 0x2016774
 0x20145d8     3  decomp      0x2015aec, 0x202d100, 0x2032604
 0x2014634     1  decomp      0x2017b64
