start	end	size	refs
0x02007118	0x02017118	65536	1
0x02007144	0x02017144	65536	4
0x020071B4	0x020171B4	65536	2
0x02007234	0x02017234	65536	2
0x0200724C	0x0201724C	65536	1
0x02007278	0x02017278	65536	1
0x020072D8	0x020172D8	65536	1
0x02007304	0x02017304	65536	4
0x02007318	0x02017318	65536	4
0x0200732C	0x0201732C	65536	1
0x02007378	0x02017378	65536	2
0x020073C0	0x020173C0	65536	2
0x02007418	0x02017418	65536	1
0x0200744C	0x0201744C	65536	1
0x020074B8	0x020174B8	65536	0
0x020074E8	0x020174E8	65536	1
0x02007508	0x02017508	65536	1
0x02007548	0x02017548	65536	1
0x02007588	0x02017588	65536	5
0x020075DC	0x020175DC	65536	5
0x0200761C	0x0201761C	65536	5
0x020076AC	0x02017678	65484	7
0x0200786C	0x0201786C	65536	2
0x020078B4	0x020178B4	65536	2
0x02007950	0x02017950	65536	4
0x02007A84	0x02017A84	65536	1
0x02007B9C	0x02017B3C	65440	1
0x02007BFC	0x02017B3C	65344	1
0x02007C1C	0x02017B3C	65312	1
0x02007C4C	0x02017C4C	65536	1
0x02007CCC	0x02017C5C	65424	3
0x02007D00	0x02017C5C	65372	1
0x02007D38	0x02017C5C	65316	1
0x02007DAC	0x02017C5C	65200	1
0x02007DF4	0x02017C5C	65128	1
0x0200802C	0x02017F48	65308	2
0x02008078	0x02017F48	65232	1
0x020081F4	0x020181D8	65508	7
0x02008200	0x020181D8	65496	1
0x02008324	0x02018324	65536	12
0x020083D8	0x0201838C	65460	10
0x02008400	0x02018400	65536	11
0x0200846C	0x0201846C	65536	0
0x02008578	0x02018550	65496	13
0x020086F4	0x020185D8	65252	5
0x02008758	0x020185D8	65152	0
0x02008760	0x020185D8	65144	0
0x02008788	0x020185D8	65104	0
0x02008814	0x020185D8	64964	0
0x02008BD4	0x02018B5C	65416	0
0x02008DF0	0x02018DF0	65536	0
0x02008F30	0x02018F30	65536	0
0x02008FD0	0x02018FD0	65536	0
0x02009008	0x02019008	65536	0
0x02009040	0x02019040	65536	6
0x02009074	0x02019074	65536	5
0x02009120	0x02019114	65524	1
0x02009184	0x02019114	65424	2
0x02009204	0x02019204	65536	1
0x02009330	0x02019330	65536	0
0x02009524	0x02019524	65536	1
0x0200959C	0x0201959C	65536	1
0x0200965C	0x0201965C	65536	3
0x020096AC	0x020196AC	65536	1
0x020096E4	0x020196E4	65536	5
0x020098A0	0x020198A0	65536	1
0x020098E8	0x020198E8	65536	2
0x0200998C	0x0201998C	65536	2
0x02009B84	0x02019B84	65536	0
0x02009BA8	0x02019BA8	65536	0
0x02009BD4	0x02019BD4	65536	0
0x02009BFC	0x02019BFC	65536	2
0x02009C60	0x02019C60	65536	8
0x02009CCC	0x02019CCC	65536	11
0x02009CDC	0x02019CDC	65536	2
0x02009CEC	0x02019CEC	65536	1
0x02009DBC	0x02019DBC	65536	7
0x02009E04	0x02019E04	65536	3
0x02009E54	0x02019E54	65536	2
0x02009ED0	0x02019ED0	65536	4
0x02009F28	0x02019F18	65520	2
0x02009F6C	0x02019F60	65524	0
0x02009FF4	0x02019F60	65388	1
0x0200A154	0x0201A138	65508	10
0x0200A184	0x0201A184	65536	2
0x0200A1C0	0x0201A1C0	65536	1
0x0200A1FC	0x0201A1FC	65536	2
0x0200A21C	0x0201A214	65528	1
0x0200A3BC	0x0201A214	65112	0
0x0200A3C4	0x0201A214	65104	0
0x0200A3CC	0x0201A214	65096	0
0x0200A45C	0x0201A214	64952	0
0x0200A464	0x0201A214	64944	0
0x0200A4B0	0x0201A214	64868	0
0x0200A698	0x0201A214	64380	0
0x0200A714	0x0201A214	64256	0
0x0200A910	0x0201A214	63748	0
