f=1 ed=0xFF ec=0xFF 57=0xFF 26=0xFF ptr(4D)=0xFFFF
f=2022 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA179
f=2027 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA17A
f=2032 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA17B
f=2036 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA17C
f=2041 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA17D
f=2046 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA17E
f=2051 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA17F
f=2056 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA180
f=2060 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA181
f=2120 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA182
f=2135 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA183
f=2139 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA187
f=2144 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA18E
f=2161 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA192
f=2163 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA193
f=2165 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA194
f=2167 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA195
f=2169 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA196
f=2171 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA197
f=2173 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA198
f=2175 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA199
f=2177 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA19A
f=2179 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA19B
f=2181 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA19C
f=2185 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA19D
f=2187 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA19E
f=2189 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA19F
f=2191 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA1A0
f=2193 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA1A1
f=2195 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA1A2
f=2197 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA1A3
f=2199 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA1A4
f=2201 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA1A5
f=2203 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA1A6
f=2205 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA1A7
f=2207 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA1A8
f=2209 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA1A9
f=2213 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA1AA
f=2229 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA1AC
f=2349 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA1AD
f=2364 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA1AE
f=2368 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA1B3
f=2395 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA1BA
f=2396 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA1C0
f=2401 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA1C1
f=2406 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA1C2
f=2411 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA1C3
f=2416 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA1C4
f=2421 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA1C5
f=2426 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA1C6
f=2431 ed=0xB8 ec=0x38 57=0x0 26=0x0 ptr(4D)=0xA1C7
